Sub-menu name,Track name,Race date,Race number,Number of Starters,Post Time,Distance,Class,Prize Money
,Rosehill Form Guide,2025-08-02,1,7,21:25,7 ½ f,34 BM72,"$103,200"
,Rosehill Form Guide,2025-08-02,2,12,22:00,7 f,3U BM72,"$77,400"
,Rosehill Form Guide,2025-08-02,3,13,22:35,6 f,3U CL3,"$77,400"
,Rosehill Form Guide,2025-08-02,4,6,23:10,7 f,3UFM BM78,"$103,200"
,Rosehill Form Guide,2025-08-02,5,7,23:45,6 f,34 BM72,"$103,200"
,Rosehill Form Guide,2025-08-02,6,6,12:20,7 ½ f,3U OPEN,"$103,200"
,Rosehill Form Guide,2025-08-02,7,9,12:55,1 ¼ m,3U BM78,"$103,200"
,Rosehill Form Guide,2025-08-02,8,8,13:35,7 f,3U BM78,"$103,200"
,Rosehill Form Guide,2025-08-02,9,4,14:10,6 ½ f,3U BM94,"$103,200"
,Rosehill Form Guide,2025-08-02,10,7,14:45,5 ½ f,3U BM78,"$103,200"
,Eagle Farm Form Guide,2025-08-02,1,8,22:08,1 m,BM78,"$54,825"
,Eagle Farm Form Guide,2025-08-02,2,8,22:43,6 f,FM CL6,"$54,825"
,Eagle Farm Form Guide,2025-08-02,3,10,23:18,5 f,CL3,"$54,825"
,Eagle Farm Form Guide,2025-08-02,4,11,23:53,1 ⅛ m,BM70,"$48,375"
,Eagle Farm Form Guide,2025-08-02,5,8,12:28,1 ⅛ m,BM90,"$54,825"
,Eagle Farm Form Guide,2025-08-02,6,11,13:03,6 f,3 OPEN,"$54,825"
,Eagle Farm Form Guide,2025-08-02,7,11,13:43,7 f,BM70,"$48,375"
,Eagle Farm Form Guide,2025-08-02,8,8,14:18,5 f,OPEN,"$54,825"
,Eagle Farm Form Guide,2025-08-02,9,9,14:50,6 f,3UCG CL6,"$54,825"
,Gold Coast Form Guide,2025-08-02,1,14,22:59,1 ⅛ m,MDN,"$19,350"
,Gold Coast Form Guide,2025-08-02,2,7,23:34,5 f,BM65,"$18,060"
,Gold Coast Form Guide,2025-08-02,3,11,12:09,6 f,MDN,"$19,350"
,Gold Coast Form Guide,2025-08-02,4,10,12:44,7 f,OPEN,"$18,060"
,Gold Coast Form Guide,2025-08-02,5,8,13:20,7 f,BM65,"$18,060"
,Gold Coast Form Guide,2025-08-02,6,10,13:59,1 ⅛ m,BM65,"$18,060"
,Gold Coast Form Guide,2025-08-02,7,10,14:34,6 f,CL1,"$18,060"
,Gold Coast Form Guide,2025-08-02,8,15,15:11,7 f,BM0-58,"$18,060"
,Pinjarra Scarpside Form Guide,2025-08-02,1,8,12:59,6 f,3 OPEN,"$51,600"
,Pinjarra Scarpside Form Guide,2025-08-02,2,10,13:39,6 f,4U NMW1Y,"$25,800"
,Pinjarra Scarpside Form Guide,2025-08-02,3,11,14:14,6 f,3U 1MW,"$38,700"
,Pinjarra Scarpside Form Guide,2025-08-02,4,9,14:59,7 f,3U BM84+,"$64,500"
,Pinjarra Scarpside Form Guide,2025-08-02,5,10,15:33,7 f,3U BM66+,"$51,600"
,Pinjarra Scarpside Form Guide,2025-08-02,6,12,16:05,1 ⅜ m,3U BM66+,"$51,600"
,Pinjarra Scarpside Form Guide,2025-08-02,7,11,16:37,6 f,3U BM72+,"$51,600"
,Launceston Form Guide,2025-08-03,1,13,22:00,6 f,3U MDN,"$16,125"
,Launceston Form Guide,2025-08-03,2,8,22:39,7 f,CL1,"$16,770"
,Launceston Form Guide,2025-08-03,3,10,23:15,7 f,3U MDN,"$16,125"
,Launceston Form Guide,2025-08-03,4,14,23:55,6 f,BM60,"$12,900"
,Launceston Form Guide,2025-08-03,5,7,12:35,5 ½ f,CL4,"$18,705"
,Launceston Form Guide,2025-08-03,6,10,13:15,1 m,CL5,"$19,350"
,Launceston Form Guide,2025-08-03,7,14,13:52,7 f,BM68,"$16,125"
,Launceston Form Guide,2025-08-03,8,7,14:27,1 ⁵⁄₁₆ m,BM60,"$12,900"
,Forbes Form Guide,2025-08-03,1,6,22:15,5 ½ f,MDN,"$25,800"
,Forbes Form Guide,2025-08-03,2,12,22:55,1 m,MDN,"$19,350"
,Forbes Form Guide,2025-08-03,3,13,23:35,6 ½ f,MDN,"$32,250"
,Forbes Form Guide,2025-08-03,4,6,12:15,6 f,BM82,"$19,350"
,Forbes Form Guide,2025-08-03,5,11,12:55,7 f,BM58,"$22,575"
,Forbes Form Guide,2025-08-03,6,12,13:35,7 f,CL1,"$19,350"
,Forbes Form Guide,2025-08-03,7,14,14:10,1 m,OPEN,"$32,250"
,Forbes Form Guide,2025-08-03,8,10,14:45,5 ½ f,CL2,"$19,350"
,Sunshine Coast Form Guide,2025-08-03,1,11,22:28,7 f,MDN,"$19,350"
,Sunshine Coast Form Guide,2025-08-03,2,6,23:08,6 f,BM75,"$18,060"
,Sunshine Coast Form Guide,2025-08-03,3,10,23:48,6 f,3 MDN,"$19,350"
